count,lat_bin,lon_bin,lat_center,lon_center
40374,4188,-8763,41.88,-87.63
36085,4189,-8763,41.89,-87.63
21058,4190,-8763,41.9,-87.63
19844,4189,-8762,41.89,-87.62
17253,4188,-8775,41.88,-87.75
16594,4188,-8773,41.88,-87.73
16038,4187,-8763,41.87,-87.63
15560,4187,-8772,41.87,-87.72
15287,4175,-8760,41.75,-87.60000000000001
15155,4190,-8772,41.9,-87.72
14318,4188,-8776,41.88,-87.76
13450,4175,-8761,41.75,-87.61
13402,4176,-8756,41.76,-87.56
13320,4186,-8771,41.86,-87.71000000000001
13275,4186,-8772,41.86,-87.72
13015,4194,-8765,41.94,-87.65
12694,4177,-8758,41.77,-87.58
12572,4188,-8774,41.88,-87.74
12134,4187,-8771,41.87,-87.71000000000001
11800,4175,-8756,41.75,-87.56
11779,4187,-8770,41.87,-87.7
11549,4178,-8762,41.78,-87.62
11487,4190,-8762,41.9,-87.62
11255,4195,-8765,41.95,-87.65
11227,4177,-8757,41.77,-87.57000000000001
11178,4188,-8772,41.88,-87.72
10986,4179,-8762,41.79,-87.62
10908,4189,-8771,41.89,-87.71000000000001
10871,4175,-8766,41.75,-87.66
10325,4189,-8775,41.89,-87.75
10189,4178,-8761,41.78,-87.61
10176,4190,-8773,41.9,-87.73
10121,4197,-8766,41.97,-87.66
9745,4188,-8771,41.88,-87.71000000000001
9656,4185,-8771,41.85,-87.71000000000001
9574,4189,-8776,41.89,-87.76
9515,4202,-8767,42.02,-87.67
9406,4188,-8762,41.88,-87.62
9379,4188,-8768,41.88,-87.68
9369,4191,-8768,41.910000000000004,-87.68
9292,4177,-8762,41.77,-87.62
9269,4187,-8773,41.87,-87.73
9160,4188,-8764,41.88,-87.64
9108,4175,-8765,41.75,-87.65
9062,4177,-8766,41.77,-87.66
9030,4181,-8762,41.81,-87.62
8955,4180,-8759,41.800000000000004,-87.59
8942,4190,-8764,41.9,-87.64
8749,4188,-8770,41.88,-87.7
8659,4178,-8770,41.78,-87.7
8639,4182,-8762,41.82,-87.62
8615,4178,-8765,41.78,-87.65
8615,4176,-8765,41.76,-87.65
8597,4178,-8769,41.78,-87.69
8571,4176,-8763,41.76,-87.63
8538,4191,-8765,41.910000000000004,-87.65
8531,4189,-8772,41.89,-87.72
8459,4189,-8777,41.89,-87.77
8454,4188,-8777,41.88,-87.77
8454,4188,-8765,41.88,-87.65
8453,4199,-8766,41.99,-87.66
8401,4178,-8766,41.78,-87.66
8387,4176,-8759,41.76,-87.59
8373,4198,-8766,41.980000000000004,-87.66
8356,4191,-8773,41.910000000000004,-87.73
8337,4190,-8767,41.9,-87.67
8248,4196,-8765,41.96,-87.65
8223,4179,-8765,41.79,-87.65
8216,4176,-8764,41.76,-87.64
8191,4189,-8765,41.89,-87.65
8147,4190,-8775,41.9,-87.75
8124,4177,-8761,41.77,-87.61
8112,4169,-8762,41.69,-87.62
8096,4180,-8762,41.800000000000004,-87.62
8014,4187,-8764,41.87,-87.64
7939,4177,-8759,41.77,-87.59
7919,4190,-8771,41.9,-87.71000000000001
7887,4183,-8762,41.83,-87.62
7837,4176,-8758,41.76,-87.58
7834,4174,-8765,41.74,-87.65
7818,4185,-8772,41.85,-87.72
7745,4179,-8766,41.79,-87.66
7713,4175,-8755,41.75,-87.55
7707,4175,-8767,41.75,-87.67
7670,4177,-8765,41.77,-87.65
7649,4177,-8764,41.77,-87.64
7641,4177,-8767,41.77,-87.67
7641,4176,-8761,41.76,-87.61
7626,4190,-8776,41.9,-87.76
7619,4193,-8764,41.93,-87.64
7567,4189,-8764,41.89,-87.64
7489,4181,-8767,41.81,-87.67
7465,4173,-8755,41.730000000000004,-87.55
7439,4193,-8765,41.93,-87.65
7371,4186,-8773,41.86,-87.73
7367,4174,-8763,41.74,-87.63
7345,4177,-8769,41.77,-87.69
7300,4175,-8764,41.75,-87.64
7276,4191,-8764,41.910000000000004,-87.64
7239,4191,-8767,41.910000000000004,-87.67
